index_i   	index_j   	energy    	forward   	backward  
0         	1         	-617.75396	0.15368   	0.14546   
0         	2         	-617.75396	0.10524   	0.04121   
0         	3         	-617.75396	0.13961   	0.05257   
0         	4         	-617.75396	0.09738   	0.00418   
0         	5         	-617.75396	0.15      	0.04679   
1         	2         	-617.74574	0.13745   	0.08165   
1         	3         	-617.74574	0.08467   	0.00586   
1         	4         	-617.74574	0.13923   	0.05426   
1         	5         	-617.74574	0.14379   	0.04881   
2         	3         	-617.68993	0.07908   	0.05607   
2         	4         	-617.68993	0.03501   	0.00584   
2         	5         	-617.68993	0.08594   	0.04676   
3         	5         	-617.66692	0.06526   	0.04909   
4         	6         	-617.66077	0.09768   	0.05566   
4         	8         	-617.66077	0.31658   	0.26045   
4         	13        	-617.66077	0.23916   	0.03949   
4         	15        	-617.66077	0.35722   	0.04682   
5         	9         	-617.65076	0.10882   	0.0155    
5         	15        	-617.65076	0.35771   	0.05732   
6         	8         	-617.61875	0.11817   	0.10406   
6         	10        	-617.61875	0.19857   	0.13598   
6         	19        	-617.61875	0.55503   	0.19987   
8         	10        	-617.60464	0.18645   	0.13796   
8         	13        	-617.60464	0.15496   	0.01142   
10        	13        	-617.55615	0.11252   	0.01747   
10        	17        	-617.55615	0.27674   	0.05772   
10        	20        	-617.55615	0.36144   	0.03582   
11        	20        	-617.55517	0.35634   	0.03171   
12        	19        	-617.4967 	0.52076   	0.28765   
12        	23        	-617.4967 	0.42996   	0.03672   
15        	17        	-617.35037	0.02652   	0.01328   
15        	19        	-617.35037	0.49951   	0.41273   
17        	20        	-617.33713	0.11776   	0.01117   
17        	22        	-617.33713	0.22123   	0.00606   
19        	21        	-617.26359	0.21986   	0.11533   
19        	23        	-617.26359	0.21674   	0.05661   
