index_i   	index_j   	energy    	forward   	backward  
0         	1         	-627.21471	0.31835   	0.29723   
0         	15        	-627.21471	0.70664   	0.24112   
0         	16        	-627.21471	0.54689   	0.0737    
0         	22        	-627.21471	0.65426   	0.02513   
1         	4         	-627.19359	0.56739   	0.53813   
1         	16        	-627.19359	0.53083   	0.07876   
1         	22        	-627.19359	0.6635    	0.05549   
2         	7         	-627.18433	0.70897   	0.56249   
2         	18        	-627.18433	0.68075   	0.2105    
2         	23        	-627.18433	0.68844   	0.07725   
2         	24        	-627.18433	0.73475   	0.00228   
3         	6         	-627.16464	0.1511    	0.07804   
3         	8         	-627.16464	0.65865   	0.43533   
3         	10        	-627.16464	0.56722   	0.274     
3         	14        	-627.16464	0.41533   	0.01588   
3         	27        	-627.16464	0.79707   	0.02523   
4         	13        	-627.16433	0.72158   	0.34717   
4         	15        	-627.16433	0.64247   	0.22732   
4         	16        	-627.16433	0.49667   	0.07385   
4         	17        	-627.16433	0.51618   	0.07245   
5         	8         	-627.14392	0.37323   	0.17063   
5         	10        	-627.14392	0.48397   	0.21146   
5         	14        	-627.14392	0.47112   	0.09238   
5         	27        	-627.14392	0.78438   	0.03327   
6         	13        	-627.09157	0.36477   	0.06313   
7         	14        	-627.03785	0.60639   	0.33372   
8         	9         	-626.94132	0.29634   	0.2593    
8         	19        	-626.94132	0.3246    	0.0954    
8         	24        	-626.94132	0.67653   	0.18707   
8         	27        	-626.94132	0.58536   	0.03684   
9         	17        	-626.90428	0.28283   	0.09914   
10        	24        	-626.87142	0.56368   	0.14413   
10        	27        	-626.87142	0.50957   	0.03096   
13        	21        	-626.78992	0.90442   	0.77846   
15        	22        	-626.74918	0.23524   	0.07163   
16        	22        	-626.74152	0.69503   	0.53908   
18        	20        	-626.71408	0.65299   	0.61652   
