index_i     index_j     energy      forward     backward
0           2           -620.70177  0.59949     0.4572
0           4           -620.70177  0.27781     0.09858
0           5           -620.70177  0.30948     0.11781
0           7           -620.70177  0.28318     0.04939
0           10          -620.70177  0.40454     0.04509
0           11          -620.70177  0.59365     0.21282
0           12          -620.70177  0.5791      0.05985
0           13          -620.70177  0.69672     0.10883
0           20          -620.70177  0.90958     0.11961
1           2           -620.64444  0.54549     0.46053
1           3           -620.64444  0.42196     0.30421
1           6           -620.64444  0.27801     0.13307
1           8           -620.64444  0.2601      0.08139
1           10          -620.64444  0.54499     0.24287
1           11          -620.64444  0.38009     0.05658
1           14          -620.64444  0.59189     0.04044
1           23          -620.64444  0.9298      0.02309
2           3           -620.55948  0.25323     0.22045
2           4           -620.55948  0.44741     0.41047
2           5           -620.55948  0.25176     0.20237
2           6           -620.55948  0.25285     0.19287
2           7           -620.55948  0.24492     0.15341
2           9           -620.55948  0.40157     0.18885
2           10          -620.55948  0.28191     0.06475
2           11          -620.55948  0.44641     0.20786
2           12          -620.55948  0.38479     0.00783
2           13          -620.55948  0.64808     0.20248
2           14          -620.55948  0.49997     0.03348
2           16          -620.55948  0.53724     0.01244
2           19          -620.55948  0.67583     0.05969
3           5           -620.5267   1.11602     1.09942
3           6           -620.5267   0.12262     0.09542
3           7           -620.5267   0.4945      0.43578
3           8           -620.5267   0.12975     0.06878
3           11          -620.5267   0.27209     0.06632
3           15          -620.5267   0.51402     0.0427
3           18          -620.5267   0.78661     0.21884
3           19          -620.5267   0.60175     0.01839
3           20          -620.5267   0.75769     0.1428
3           23          -620.5267   0.79377     0.00481
4           5           -620.52254  0.1048      0.09236
4           7           -620.52254  0.30669     0.25212
4           10          -620.52254  0.23349     0.05327
4           12          -620.52254  0.77303     0.43301
5           7           -620.5101   0.10708     0.06496
5           8           -620.5101   0.47619     0.43182
5           9           -620.5101   0.25987     0.09652
5           10          -620.5101   0.2278      0.06003
5           12          -620.5101   0.73709     0.40951
5           16          -620.5101   0.48849     0.01308
5           19          -620.5101   0.67256     0.1058
6           8           -620.4995   0.28008     0.2463
6           11          -620.4995   0.19263     0.01406
6           15          -620.4995   0.47346     0.02933
6           16          -620.4995   0.52722     0.0624
6           19          -620.4995   0.57977     0.02361
6           21          -620.4995   0.63299     0.03348
6           23          -620.4995   0.89895     0.13718
7           10          -620.46797  0.14208     0.01644
7           16          -620.46797  0.53004     0.09675
8           11          -620.46573  0.20379     0.05899
8           16          -620.46573  0.61961     0.18857
8           19          -620.46573  0.54935     0.02696
8           23          -620.46573  0.73286     0.00487
9           13          -620.34675  0.32        0.08713
10          12          -620.34233  0.29309     0.13329
11          15          -620.32093  0.27053     0.00498
13          20          -620.11388  0.66826     0.46618
14          18          -620.09299  0.53498     0.40091
15          16          -620.05538  0.39038     0.36969
16          19          -620.03469  0.21521     0.12386
18          20          -619.95893  0.45314     0.40601
19          23          -619.94334  0.21399     0.00839
