index_i   	index_j   	energy    	forward   	backward  
0         	1         	-623.48246	0.06843   	0.03486   
0         	2         	-623.48246	0.1337    	0.05851   
0         	5         	-623.48246	0.19235   	0.00548   
0         	6         	-623.48246	0.43867   	0.25147   
0         	7         	-623.48246	0.62169   	0.28616   
0         	10        	-623.48246	0.82052   	0.28454   
1         	2         	-623.44889	0.09056   	0.04894   
1         	5         	-623.44889	0.16151   	0.00821   
1         	6         	-623.44889	0.40977   	0.25614   
1         	7         	-623.44889	0.60722   	0.30526   
2         	4         	-623.40727	0.35335   	0.24754   
2         	5         	-623.40727	0.12162   	0.00993   
2         	6         	-623.40727	0.36729   	0.25528   
2         	7         	-623.40727	0.55759   	0.29724   
2         	10        	-623.40727	0.75809   	0.2973    
3         	4         	-623.33242	0.68606   	0.6551    
3         	8         	-623.33242	0.38582   	0.19647   
4         	8         	-623.30146	0.35671   	0.19831   
4         	15        	-623.30146	0.84137   	0.21331   
5         	10        	-623.29558	0.57104   	0.22194   
6         	7         	-623.29526	0.36696   	0.21862   
6         	9         	-623.29526	0.43296   	0.25345   
6         	10        	-623.29526	0.57      	0.22122   
6         	11        	-623.29526	0.60534   	0.07587   
7         	8         	-623.14692	0.36661   	0.36276   
7         	13        	-623.14692	0.93671   	0.51433   
10        	15        	-622.94648	0.36402   	0.09095   
12        	13        	-622.73157	0.28326   	0.27623   
12        	14        	-622.73157	0.19116   	0.14911   
12        	17        	-622.73157	0.53638   	0.32999   
