index_i   	index_j   	energy    	forward   	backward  
0         	3         	-621.53931	0.52166   	0.4256    
0         	10        	-621.53931	0.65309   	0.12868   
0         	13        	-621.53931	0.71278   	0.14488   
1         	5         	-621.50939	0.43747   	0.3186    
1         	6         	-621.50939	0.43952   	0.29615   
1         	7         	-621.50939	0.28123   	0.05032   
2         	5         	-621.50781	0.41386   	0.29657   
2         	6         	-621.50781	0.4285    	0.2867    
2         	7         	-621.50781	0.31393   	0.0846    
2         	10        	-621.50781	0.56606   	0.07315   
2         	14        	-621.50781	0.62445   	0.05671   
3         	7         	-621.44325	0.24754   	0.08277   
3         	10        	-621.44325	0.51486   	0.08651   
3         	13        	-621.44325	0.79945   	0.32761   
3         	14        	-621.44325	0.55328   	0.0501    
5         	6         	-621.39053	0.46149   	0.43698   
5         	7         	-621.39053	0.46184   	0.3498    
5         	12        	-621.39053	0.39479   	0.01476   
6         	7         	-621.36602	0.36074   	0.27321   
8         	13        	-621.2274 	0.34714   	0.09115   
8         	14        	-621.2274 	0.53386   	0.24654   
10        	13        	-621.0149 	0.35387   	0.31038   
