index_i   	index_j   	energy    	forward   	backward  
0         	2         	-640.75123	0.85019   	0.36957   
0         	3         	-640.75123	1.28597   	0.71309   
0         	4         	-640.75123	0.71549   	0.14093   
0         	5         	-640.75123	0.69762   	0.04556   
0         	7         	-640.75123	0.95726   	0.07133   
0         	8         	-640.75123	1.32347   	0.39266   
1         	5         	-640.40405	0.35345   	0.04856   
2         	3         	-640.27061	0.80478   	0.71252   
2         	4         	-640.27061	0.12539   	0.03145   
2         	6         	-640.27061	0.25398   	0.03421   
3         	4         	-640.17835	0.72061   	0.71893   
3         	6         	-640.17835	0.7195    	0.59199   
4         	6         	-640.17667	0.15966   	0.03382   
6         	8         	-640.05084	0.76452   	0.5341    
