index_i   	index_j   	energy    	forward   	backward  
0         	1         	-657.25167	1.27966   	0.08717   
0         	2         	-657.25167	2.01511   	0.40171   
0         	3         	-657.25167	1.81622   	0.19828   
0         	4         	-657.25167	1.73767   	0.0979    
0         	8         	-657.25167	2.19931   	0.23039   
1         	2         	-656.05917	0.81061   	0.38971   
1         	3         	-656.05917	0.54738   	0.12193   
1         	4         	-656.05917	0.55725   	0.10997   
1         	7         	-656.05917	0.87793   	0.14106   
2         	7         	-655.63827	0.48138   	0.16541   
2         	8         	-655.63827	0.86896   	0.51344   
2         	9         	-655.63827	1.02425   	0.66467   
2         	10        	-655.63827	0.67837   	0.3155    
3         	4         	-655.63372	0.15723   	0.1354    
3         	6         	-655.63372	0.84326   	0.61208   
3         	7         	-655.63372	0.43381   	0.12238   
3         	8         	-655.63372	0.44758   	0.0966    
3         	10        	-655.63372	0.61302   	0.25468   
4         	6         	-655.6119 	0.61587   	0.40651   
4         	7         	-655.6119 	0.6265    	0.3369    
4         	10        	-655.6119 	0.71897   	0.38247   
7         	8         	-655.3223 	0.37574   	0.33618   
7         	10        	-655.3223 	0.59648   	0.54957   
8         	9         	-655.28275	0.13715   	0.13309   
