index_i   	index_j   	energy    	forward   	backward  
0         	1         	-656.54057	0.82233   	0.68739   
0         	2         	-656.54057	0.56724   	0.29511   
0         	3         	-656.54057	0.82439   	0.40018   
0         	11        	-656.54057	1.04546   	0.07612   
1         	2         	-656.40562	0.36566   	0.22848   
1         	3         	-656.40562	0.32506   	0.0358    
1         	4         	-656.40562	0.5428    	0.19696   
1         	8         	-656.40562	1.42384   	0.70892   
4         	7         	-656.05978	0.92293   	0.66543   
5         	7         	-655.9986 	0.68398   	0.48765   
5         	10        	-655.9986 	0.80554   	0.40925   
7         	8         	-655.80227	1.48885   	1.37728   
