index_i   	index_j   	energy    	forward   	backward  
0         	1         	-632.05274	0.25642   	0.12867   
0         	3         	-632.05274	1.40877   	0.97026   
0         	5         	-632.05274	1.14252   	0.67259   
0         	7         	-632.05274	0.64784   	0.05366   
0         	8         	-632.05274	0.97104   	0.15914   
0         	9         	-632.05274	1.10348   	0.27976   
1         	3         	-631.92499	0.47099   	0.16023   
1         	4         	-631.92499	0.60286   	0.28094   
1         	5         	-631.92499	0.80415   	0.46197   
1         	7         	-631.92499	0.66398   	0.19755   
1         	8         	-631.92499	0.71705   	0.03289   
1         	12        	-631.92499	0.80338   	0.02818   
2         	3         	-631.64572	0.30705   	0.27556   
2         	4         	-631.64572	0.21639   	0.17375   
2         	5         	-631.64572	0.30569   	0.24278   
2         	6         	-631.64572	0.69562   	0.51092   
2         	7         	-631.64572	0.92291   	0.73576   
2         	8         	-631.64572	0.51321   	0.10833   
3         	4         	-631.61423	0.54478   	0.53362   
3         	5         	-631.61423	0.61688   	0.58547   
3         	6         	-631.61423	0.41442   	0.26121   
3         	7         	-631.61423	0.31963   	0.16396   
3         	8         	-631.61423	0.4102    	0.03681   
3         	11        	-631.61423	0.62413   	0.18029   
3         	12        	-631.61423	0.49587   	0.03142   
4         	5         	-631.60308	0.25346   	0.2332    
4         	6         	-631.60308	0.37016   	0.2281    
4         	7         	-631.60308	0.51012   	0.3656    
4         	8         	-631.60308	0.48848   	0.12624   
5         	6         	-631.58282	0.47263   	0.35083   
5         	7         	-631.58282	0.54042   	0.41616   
5         	8         	-631.58282	0.70959   	0.36762   
6         	9         	-631.46102	0.72085   	0.48885   
10        	13        	-631.18772	0.74955   	0.69884   
11        	12        	-631.1704 	0.64088   	0.62027   
